Item,Closed,Pending,Resolved,Assigned,WIP,Total
Transaction Reversal - E-mola to M-Pesa,4,0,0,0,0,4
Extracto de uso de Dados,4,0,0,0,0,4
Subscriber payments Queries,4,0,0,0,0,4
Paga Facil Account Status,4,0,0,0,0,4
Cancelamento Parcial,4,0,0,0,0,4
Surname,0,0,0,4,0,4
Coverage,4,0,0,0,0,4
SolarWorks SMS de Confirmação,4,0,0,0,0,4
Authorised Transaction from M-Pesa to E-mola,3,0,0,1,0,4
Contribuições Automáticas,4,0,0,0,0,4
Sobre a App,4,0,0,0,0,4
Extra Jackpot,4,0,0,0,0,4
Recepção do valor,4,0,0,0,0,4
Reversal Bank to M-Pesa - Used money,2,0,0,2,0,4
Mega Promo,4,0,0,0,0,4
Fraudulent Activity-Movitel,2,0,0,2,0,4
SIM SWAP Fraud,4,0,0,0,0,4
Payment -Vodashop cheque,4,0,0,0,0,4
Dificuldades para Contribuir,3,0,0,1,0,4
Vicinity Check - Withdrawal,3,0,0,0,0,3
Partial Reversal - P2P 100-500,3,0,0,0,0,3
Subscriber Update - Email Address,3,0,0,0,0,3
Reconnection Request,3,0,0,0,0,3
National Access Problem,3,0,0,0,0,3
Authorised – Buy Credelec,3,0,0,0,0,3
Idioma Correcto – Emakhuwa,3,0,0,0,0,3
Declined Transaction from M-Pesa to E-mola,3,0,0,0,0,3
Aditivos Recorrentes,3,0,0,0,0,3
Voicemail-Activation request,3,0,0,0,0,3
Roaming Tudobom,3,0,0,0,0,3
My Registered MSISDNs,3,0,0,0,0,3
Airtime Reversal Request,3,0,0,0,0,3
Tariff migration - Upward,3,0,0,0,0,3
Diario,3,0,0,0,0,3
Apex Down,3,0,0,0,0,3
Free WhatsApp Text,3,0,0,0,0,3
SIM Swap,3,0,0,0,0,3
M-pesa  Details Update,3,0,0,0,0,3
Order Creation for Contract Renewal,0,0,0,3,0,3
Paga Fácil - Requisitos,3,0,0,0,0,3
Itimised Billing,1,0,0,2,0,3
Submissão de dados,3,0,0,0,0,3
Tarifa UAU,3,0,0,0,0,3
Credelec 5 Meters Limit,3,0,0,0,0,3
Paga Facil Transaction Reversal,2,0,0,1,0,3
M-Pesa Jackpot,3,0,0,0,0,3
Agentes M-Pesa – Pedidos submetidos,3,0,0,0,0,3
Main Account  - PlayInc,3,0,0,0,0,3
Cupido - Cancelamento da subscrição,3,0,0,0,0,3
Consulta de saldo,3,0,0,0,0,3
Fidelidade na rede com bonus,2,0,0,1,0,3
M- Pesa,3,0,0,0,0,3
M-pesa  Suspension,2,0,0,1,0,3
Balance,3,0,0,0,0,3
First Name,0,0,0,3,0,3
Reimbursement,2,0,0,0,1,3
My Muze - Cancelamento,3,0,0,0,0,3
Tikete Game,2,0,0,1,0,3
Greetings to Vodacom,2,0,0,0,0,2
Loan Cancelation,2,0,0,0,0,2
Fixed Service-Upward,1,1,0,0,0,2
SMS Center Number,2,0,0,0,0,2
Cancelamento Indevido,2,0,0,0,0,2
Gifting service-Jackpot,2,0,0,0,0,2
Account adjustment,2,0,0,0,0,2
Transaction Reversal - M-Pesa to Mkesh,2,0,0,0,0,2
Eligibility & Credit Limit,2,0,0,0,0,2
Bom Papo – Pacote Diário,2,0,0,0,0,2
Partial Reversal - Withdraw 100-1500,2,0,0,0,0,2
Alteração da senha,2,0,0,0,0,2
Transaction Reversal - Deposit Cash 100-1500,2,0,0,0,0,2
Recepção do código OTP,2,0,0,0,0,2
Bom dia promo – Megas,2,0,0,0,0,2
Data Bundles reallocation,2,0,0,0,0,2
Consulta de Taxas via USSD,2,0,0,0,0,2
No balance to use Data,2,0,0,0,0,2
Compensação de CIB,2,0,0,0,0,2
Retention Request CBU,0,0,0,2,0,2
Voucher Bonus,2,0,0,0,0,2
Não consegue baixar a App,2,0,0,0,0,2
Main Account  - Citações de Alcorão,2,0,0,0,0,2
Loan amount credited,2,0,0,0,0,2
Cancelled Transaction from M-Pesa to E-mola,1,0,0,1,0,2
Oferta de Internet Mensal,2,0,0,0,0,2
MSISDN Swap complaints,2,0,0,0,0,2
Ajuste de tarifas,2,0,0,0,0,2
5 BRADAS,2,0,0,0,0,2
Conta reciclada por falha,2,0,0,0,0,2
Cannot receive International Calls,2,0,0,0,0,2
M-Pesa Data Bundles,2,0,0,0,0,2
Lotto – Oxigen8,2,0,0,0,0,2
Recharge - ATM,2,0,0,0,0,2
ZAP Tv Payments,2,0,0,0,0,2
Citações da Biblia,2,0,0,0,0,2
System failure-USSD,2,0,0,0,0,2
Self-repayment not registered,2,0,0,0,0,2
Net TodoDia,2,0,0,0,0,2
Cannot Make International Calls,2,0,0,0,0,2
Music Request,2,0,0,0,0,2
Unlock and Reset PIN,2,0,0,0,0,2
Transaction Reversal Voucher 100-1500,2,0,0,0,0,2
Due Date Double debit,2,0,0,0,0,2
Bonus da Recarga,2,0,0,0,0,2
Golden Number Request Unsuccessful,2,0,0,0,0,2
PlayInc,2,0,0,0,0,2
Novas ofertas diárias em Roaming,1,0,0,1,0,2
Debit/Credit Notes,1,0,0,0,1,2
Activation Procedure,2,0,0,0,0,2
Novos códigos USSD,1,0,0,1,0,2
Portal Explicador 84,2,0,0,0,0,2
Itel 2160s,2,0,0,0,0,2
Recepção de Dinheiro TerraPay RSA,2,0,0,0,0,2
Partial Reversal- Bank To Mpesa,0,0,0,2,0,2
Recharge,2,0,0,0,0,2
SV assistance,2,0,0,0,0,2
Loan amount release delayed,2,0,0,0,0,2
House of Comics – Cancelar subscrição,2,0,0,0,0,2
Withdraw Cash Declined,2,0,0,0,0,2
TV Cabo payments,2,0,0,0,0,2
Pacote diário,2,0,0,0,0,2
Portal Vibratoques,2,0,0,0,0,2
Send money P2P free,2,0,0,0,0,2
Presente Perfeito,2,0,0,0,0,2
Direct Debit,2,0,0,0,0,2
M-Pesa Balance,2,0,0,0,0,2
TMT No Signal after Payment,2,0,0,0,0,2
Agentes M-Pesa – Pedidos Requisitos,2,0,0,0,0,2
STK - Registo de Contas,2,0,0,0,0,2
Dados de registo do numero,2,0,0,0,0,2
M-Pesa Down,2,0,0,0,0,2
Paga Fácil - Unlock Pin,2,0,0,0,0,2
Noticias de Desporto,2,0,0,0,0,2
Tikete - Cannot use the bundles,1,0,0,1,0,2
Meu Vodacom,1,0,0,0,0,1
ZTE R550,1,0,0,0,0,1
StarTimes No Signal after Payment,1,0,0,0,0,1
Internet not Working,1,0,0,0,0,1
Pouko Pouko,1,0,0,0,0,1
Flexi-300/120MB smart,1,0,0,0,0,1
M-Pesa,1,0,0,0,0,1
Insufficient Debit Funds,1,0,0,0,0,1
Actualização de dados,1,0,0,0,0,1
Como registar na App,1,0,0,0,0,1
Activate Free Facebook,1,0,0,0,0,1
Mensal,1,0,0,0,0,1
Transferir dinheiro,1,0,0,0,0,1
Deceased Account Claims,1,0,0,0,0,1
Citações,1,0,0,0,0,1
Subscriber Update - Name,1,0,0,0,0,1
Dicas Romanticas,1,0,0,0,0,1
E-sports Mobiwin – Subscrição,1,0,0,0,0,1
GOtv Alteração de Pacotes,1,0,0,0,0,1
Buy Credelec 3 Tokens,1,0,0,0,0,1
Transaction Pending In Authorized,1,0,0,0,0,1
Language Change,1,0,0,0,0,1
CVM,1,0,0,0,0,1
Voicemail-Suspension request,1,0,0,0,0,1
Serviço de  Noticias via SMS,1,0,0,0,0,1
Capped on Tier 1,0,0,0,1,0,1
Bom Papo WAP,1,0,0,0,0,1
SMS de Confirmação,1,0,0,0,0,1
Transaction Reversal P2P 100-350,1,0,0,0,0,1
Jogos USSD,1,0,0,0,0,1
Notificação para Conversão do Crédito,1,0,0,0,0,1
Bill limit,1,0,0,0,0,1
Main Account – Roaming,1,0,0,0,0,1
Subscriber status 5,1,0,0,0,0,1
Pagamento para entidade incorrecta,0,0,0,1,0,1
Data bundle – Weekly offers,1,0,0,0,0,1
E-sports Mobiwin – Cancelar subscrição,1,0,0,0,0,1
PoS Payments Queries,1,0,0,0,0,1
Ofertas Top 1500,1,0,0,0,0,1
Txuna Credito,0,0,0,1,0,1
Direct Deposit reversal request,1,0,0,0,0,1
ATM Withdrawal Amount Not Received,0,0,0,1,0,1
Pacote semanal,1,0,0,0,0,1
Transaction Reversal,1,0,0,0,0,1
Voicemail-Request to cancel,1,0,0,0,0,1
House of Comics – Portal,1,0,0,0,0,1
Recycling  Request,0,0,0,1,0,1
Main Account  - Serviço de  Noticias,1,0,0,0,0,1
Novos Limites,1,0,0,0,0,1
MBC – Reception of Confirmation SMS,1,0,0,0,0,1
Transaction Reversal Used Money - M-Pesa to E-mola,1,0,0,0,0,1
Creation,0,0,0,1,0,1
Telephone Down,1,0,0,0,0,1
Roaming Info por SMS,1,0,0,0,0,1
Adição de número,1,0,0,0,0,1
Main Account - Frases Motivacionais,1,0,0,0,0,1
Main Account - So Pra Elas,1,0,0,0,0,1
Cannot speak to CC Agent,1,0,0,0,0,1
Retention Request EBU,0,0,0,1,0,1
Headset Selling requisition,0,0,0,1,0,1
Tikete – Internet speed change,1,0,0,0,0,1
Alerta de Saldo,1,0,0,0,0,1
Self-repayment Double debit,1,0,0,0,0,1
Recycle Request & Balance Reallocation,0,0,0,1,0,1
Bulk SMS-Bundle increase,1,0,0,0,0,1
Doc. valido por conta,1,0,0,0,0,1
TerraPay - Transaction Reversal,1,0,0,0,0,1
Pagamento de Facturas FIPAG,0,0,0,1,0,1
SolarWorks Transaction Reversal,1,0,0,0,0,1
Billing-Split Billing,1,0,0,0,0,1
4G - Incompatible device,1,0,0,0,0,1
Operator User Creation,0,0,0,1,0,1
M-Pesa Business Information,1,0,0,0,0,1
Transaction Authorised,1,0,0,0,0,1
P2P - Nome Codificado,1,0,0,0,0,1
StarTimes Transaction Canceled,1,0,0,0,0,1
Idioma Correcto – Inglês,1,0,0,0,0,1
Request for New Coverage,1,0,0,0,0,1
Tikete Social,1,0,0,0,0,1
Super Jackpot,1,0,0,0,0,1
Amount not received at Moza Banco Account,1,0,0,0,0,1
Loan Amount not requested,1,0,0,0,0,1
FIPAG – Transacções declinadas,1,0,0,0,0,1
Send Money to Registered Customer,1,0,0,0,0,1
My number,1,0,0,0,0,1
Ofertas TodaHora-Semanal,1,0,0,0,0,1
Starter pack,1,0,0,0,0,1
Dobro de Bónus no Troca Txintxa,1,0,0,0,0,1
PoS Expired Transaction,1,0,0,0,0,1
Update details–Subscriber’s Email,1,0,0,0,0,1
Aditivos Internacionais,1,0,0,0,0,1
